"id","core_cur_work_time","ch_tot_work_time","ch_status","ch_mode","progr_progress","prog","has_error","timestamp"
"1","148:30:3","173:50:6","Ошибка","Стр. ввода","0","/NC/.~mdi/ch1","0","2023-11-21 22:44:37"
"2","148:30:9","173:50:6","Ошибка","Стр. ввода","0","/NC/.~mdi/ch1","0","2023-11-21 22:44:37"
"3","148:30:6","173:50:6","Ошибка","Стр. ввода","0","/NC/.~mdi/ch1","0","2023-11-21 22:44:40"
"4","148:30:11","173:50:6","Ошибка","Стр. ввода","0","/NC/.~mdi/ch1","0","2023-11-21 22:44:40"
"5","148:30:15","173:50:6","Ошибка","Стр. ввода","0","/NC/.~mdi/ch1","0","2023-11-21 22:44:43"
"6","148:30:18","173:50:6","Ошибка","Стр. ввода","0","/NC/.~mdi/ch1","0","2023-11-21 22:44:46"
"7","148:30:21","173:50:6","Ошибка","Стр. ввода","0","/NC/.~mdi/ch1","0","2023-11-21 22:44:49"
"8","148:30:24","173:50:6","Ошибка","Стр. ввода","0","/NC/.~mdi/ch1","0","2023-11-21 22:44:52"
"9","148:30:27","173:50:6","Ошибка","Стр. ввода","0","/NC/.~mdi/ch1","0","2023-11-21 22:44:56"
"10","148:30:30","173:50:6","Ошибка","Стр. ввода","0","/NC/.~mdi/ch1","0","2023-11-21 22:44:58"
"11","148:30:33","173:50:6","Ошибка","Стр. ввода","0","/NC/.~mdi/ch1","0","2023-11-21 22:45:02"
"12","148:30:36","173:50:6","Ошибка","Стр. ввода","0","/NC/.~mdi/ch1","0","2023-11-21 22:45:04"
"13","148:30:39","173:50:6","Ошибка","Стр. ввода","0","/NC/.~mdi/ch1","0","2023-11-21 22:45:07"
"14","148:30:41","173:50:6","Ошибка","Стр. ввода","0","/NC/.~mdi/ch1","0","2023-11-21 22:45:10"
"15","148:30:45","173:50:6","Ошибка","Стр. ввода","0","/NC/.~mdi/ch1","0","2023-11-21 22:45:13"
"16","148:30:48","173:50:6","Ошибка","Стр. ввода","0","/NC/.~mdi/ch1","0","2023-11-21 22:45:16"
"17","148:30:50","173:50:6","Ошибка","Стр. ввода","0","/NC/.~mdi/ch1","0","2023-11-21 22:45:19"
"18","148:30:54","173:50:6","Ошибка","Стр. ввода","0","/NC/.~mdi/ch1","0","2023-11-21 22:45:22"
"19","148:30:57","173:50:6","Ошибка","Стр. ввода","0","/NC/.~mdi/ch1","0","2023-11-21 22:45:25"
"20","148:31:0","173:50:6","Ошибка","Стр. ввода","0","/NC/.~mdi/ch1","0","2023-11-21 22:45:28"
"21","148:31:3","173:50:6","Ошибка","Стр. ввода","0","/NC/.~mdi/ch1","0","2023-11-21 22:45:31"
"22","148:31:6","173:50:6","Ошибка","Стр. ввода","0","/NC/.~mdi/ch1","0","2023-11-21 22:45:34"
"23","148:31:9","173:50:6","Ошибка","Стр. ввода","0","/NC/.~mdi/ch1","0","2023-11-21 22:45:37"
"24","148:31:12","173:50:6","Ошибка","Стр. ввода","0","/NC/.~mdi/ch1","0","2023-11-21 22:45:40"
"25","148:31:15","173:50:6","Ошибка","Стр. ввода","0","/NC/.~mdi/ch1","0","2023-11-21 22:45:43"
"26","148:31:18","173:50:6","Ошибка","Стр. ввода","0","/NC/.~mdi/ch1","0","2023-11-21 22:45:47"
"27","148:31:20","173:50:6","Ошибка","Стр. ввода","0","/NC/.~mdi/ch1","0","2023-11-21 22:45:49"
